"athlete","trainingDate","season","rpetl"
"Shawn James",2015-09-12,"Fall 2015",315
"Andrew Ortiz-Gonzales",2015-09-12,"Fall 2015",525
"Taaha el-Qazi",2015-09-12,"Fall 2015",420
"Lawrence Tamayo",2015-09-12,"Fall 2015",315
"Husaam al-Ishak",2015-09-12,"Fall 2015",200
"Bishr el-Hamdan",2015-09-12,"Fall 2015",420
"Arun Bruckner",2015-09-12,"Fall 2015",200
"Jungsoo Moua",2015-09-12,"Fall 2015",525
"Mori Tani",2015-09-12,"Fall 2015",420
"Saleem el-Sham",2015-09-12,"Fall 2015",525
"Kong Meng Hutchinson",2015-09-12,"Fall 2015",360
"Naadir el-Mahdavi",2015-09-12,"Fall 2015",420
"Tayyib al-Wahab",2015-09-12,"Fall 2015",630
"Brandon Troxel",2015-09-12,"Fall 2015",525
"Aqeel al-Hossain",2015-09-12,"Fall 2015",420
"Darin Russell",2015-09-12,"Fall 2015",180
"Sahl al-Sader",2015-09-12,"Fall 2015",315
"Benjamin Babatunde",2015-09-13,"Fall 2015",280
"Joo Garand",2015-09-13,"Fall 2015",310
"Aiden Jaeger",2015-09-13,"Fall 2015",480
"Tony Cha",2015-09-13,"Fall 2015",400
"Kevin Querubin",2015-09-13,"Fall 2015",440
"Kordell Thompson",2015-09-13,"Fall 2015",340
"Joaquin Martinez",2015-09-13,"Fall 2015",160
"Rocky Mccarty",2015-09-13,"Fall 2015",500
"Keandre Johnson",2015-09-13,"Fall 2015",345
"Scott Lucero",2015-09-13,"Fall 2015",420
"Max Zuniga",2015-09-13,"Fall 2015",0
"Torben Mcclelland",2015-09-13,"Fall 2015",220
"Steve Galligan",2015-09-13,"Fall 2015",520
"Marzooq al-Fahs",2015-09-13,"Fall 2015",550
"Muhaajir al-Mirza",2015-09-13,"Fall 2015",695
"Shawn James",2015-09-13,"Fall 2015",345
"Andrew Ortiz-Gonzales",2015-09-13,"Fall 2015",360
"Taaha el-Qazi",2015-09-13,"Fall 2015",400
"Lawrence Tamayo",2015-09-13,"Fall 2015",360
"Husaam al-Ishak",2015-09-13,"Fall 2015",310
"Bishr el-Hamdan",2015-09-13,"Fall 2015",360
"Arun Bruckner",2015-09-13,"Fall 2015",0
"Jungsoo Moua",2015-09-13,"Fall 2015",330
"Mori Tani",2015-09-13,"Fall 2015",500
"Saleem el-Sham",2015-09-13,"Fall 2015",455
"Kong Meng Hutchinson",2015-09-13,"Fall 2015",320
"Naadir el-Mahdavi",2015-09-13,"Fall 2015",375
"Tayyib al-Wahab",2015-09-13,"Fall 2015",240
"Brandon Troxel",2015-09-13,"Fall 2015",400
"Aqeel al-Hossain",2015-09-13,"Fall 2015",560
"Darin Russell",2015-09-13,"Fall 2015",295
"Sahl al-Sader",2015-09-13,"Fall 2015",560
"Benjamin Babatunde",2015-09-14,"Fall 2015",140
"Joo Garand",2015-09-14,"Fall 2015",210
"Aiden Jaeger",2015-09-14,"Fall 2015",210
"Tony Cha",2015-09-14,"Fall 2015",210
"Kevin Querubin",2015-09-14,"Fall 2015",210
"Kordell Thompson",2015-09-14,"Fall 2015",210
"Joaquin Martinez",2015-09-14,"Fall 2015",140
"Rocky Mccarty",2015-09-14,"Fall 2015",210
"Keandre Johnson",2015-09-14,"Fall 2015",0
"Scott Lucero",2015-09-14,"Fall 2015",210
"Max Zuniga",2015-09-14,"Fall 2015",0
"Torben Mcclelland",2015-09-14,"Fall 2015",140
"Steve Galligan",2015-09-14,"Fall 2015",280
"Marzooq al-Fahs",2015-09-14,"Fall 2015",210
"Muhaajir al-Mirza",2015-09-14,"Fall 2015",210
"Shawn James",2015-09-14,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-09-14,"Fall 2015",210
"Taaha el-Qazi",2015-09-14,"Fall 2015",210
"Lawrence Tamayo",2015-09-14,"Fall 2015",210
"Husaam al-Ishak",2015-09-14,"Fall 2015",140
"Bishr el-Hamdan",2015-09-14,"Fall 2015",210
"Arun Bruckner",2015-09-14,"Fall 2015",210
"Jungsoo Moua",2015-09-14,"Fall 2015",140
"Mori Tani",2015-09-14,"Fall 2015",280
"Saleem el-Sham",2015-09-14,"Fall 2015",210
"Kong Meng Hutchinson",2015-09-14,"Fall 2015",210
"Naadir el-Mahdavi",2015-09-14,"Fall 2015",210
"Tayyib al-Wahab",2015-09-14,"Fall 2015",140
"Brandon Troxel",2015-09-14,"Fall 2015",210
"Aqeel al-Hossain",2015-09-14,"Fall 2015",210
"Darin Russell",2015-09-14,"Fall 2015",140
"Sahl al-Sader",2015-09-14,"Fall 2015",140
"Benjamin Babatunde",2015-09-15,"Fall 2015",65
"Joo Garand",2015-09-15,"Fall 2015",130
"Aiden Jaeger",2015-09-15,"Fall 2015",195
"Tony Cha",2015-09-15,"Fall 2015",130
"Kevin Querubin",2015-09-15,"Fall 2015",130
"Kordell Thompson",2015-09-15,"Fall 2015",130
"Joaquin Martinez",2015-09-15,"Fall 2015",110
"Rocky Mccarty",2015-09-15,"Fall 2015",80
"Keandre Johnson",2015-09-15,"Fall 2015",130
"Scott Lucero",2015-09-15,"Fall 2015",130
"Max Zuniga",2015-09-15,"Fall 2015",0
"Torben Mcclelland",2015-09-15,"Fall 2015",130
"Steve Galligan",2015-09-15,"Fall 2015",260
"Marzooq al-Fahs",2015-09-15,"Fall 2015",130
"Muhaajir al-Mirza",2015-09-15,"Fall 2015",130
"Shawn James",2015-09-15,"Fall 2015",130
"Andrew Ortiz-Gonzales",2015-09-15,"Fall 2015",195
"Taaha el-Qazi",2015-09-15,"Fall 2015",130
"Lawrence Tamayo",2015-09-15,"Fall 2015",130
"Husaam al-Ishak",2015-09-15,"Fall 2015",65
"Bishr el-Hamdan",2015-09-15,"Fall 2015",195
"Arun Bruckner",2015-09-15,"Fall 2015",130
"Jungsoo Moua",2015-09-15,"Fall 2015",65
"Mori Tani",2015-09-15,"Fall 2015",65
"Saleem el-Sham",2015-09-15,"Fall 2015",195
"Kong Meng Hutchinson",2015-09-15,"Fall 2015",130
"Naadir el-Mahdavi",2015-09-15,"Fall 2015",195
"Tayyib al-Wahab",2015-09-15,"Fall 2015",130
"Brandon Troxel",2015-09-15,"Fall 2015",130
"Aqeel al-Hossain",2015-09-15,"Fall 2015",130
"Darin Russell",2015-09-15,"Fall 2015",130
"Sahl al-Sader",2015-09-15,"Fall 2015",130
"Benjamin Babatunde",2015-09-16,"Fall 2015",0
"Joo Garand",2015-09-16,"Fall 2015",0
"Aiden Jaeger",2015-09-16,"Fall 2015",675
"Tony Cha",2015-09-16,"Fall 2015",540
"Kevin Querubin",2015-09-16,"Fall 2015",540
"Kordell Thompson",2015-09-16,"Fall 2015",0
"Joaquin Martinez",2015-09-16,"Fall 2015",675
"Rocky Mccarty",2015-09-16,"Fall 2015",0
"Keandre Johnson",2015-09-16,"Fall 2015",0
"Scott Lucero",2015-09-16,"Fall 2015",0
"Max Zuniga",2015-09-16,"Fall 2015",0
"Torben Mcclelland",2015-09-16,"Fall 2015",1080
"Steve Galligan",2015-09-16,"Fall 2015",1080
"Marzooq al-Fahs",2015-09-16,"Fall 2015",0
"Muhaajir al-Mirza",2015-09-16,"Fall 2015",810
"Shawn James",2015-09-16,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-09-16,"Fall 2015",0
"Taaha el-Qazi",2015-09-16,"Fall 2015",945
"Lawrence Tamayo",2015-09-16,"Fall 2015",540
"Husaam al-Ishak",2015-09-16,"Fall 2015",405
"Bishr el-Hamdan",2015-09-16,"Fall 2015",0
"Arun Bruckner",2015-09-16,"Fall 2015",0
"Jungsoo Moua",2015-09-16,"Fall 2015",0
"Mori Tani",2015-09-16,"Fall 2015",0
"Saleem el-Sham",2015-09-16,"Fall 2015",0
"Kong Meng Hutchinson",2015-09-16,"Fall 2015",675
"Naadir el-Mahdavi",2015-09-16,"Fall 2015",945
"Tayyib al-Wahab",2015-09-16,"Fall 2015",0
"Brandon Troxel",2015-09-16,"Fall 2015",1080
"Aqeel al-Hossain",2015-09-16,"Fall 2015",945
"Darin Russell",2015-09-16,"Fall 2015",810
"Sahl al-Sader",2015-09-16,"Fall 2015",810
"Benjamin Babatunde",2015-09-17,"Fall 2015",0
"Joo Garand",2015-09-17,"Fall 2015",0
"Aiden Jaeger",2015-09-17,"Fall 2015",0
"Tony Cha",2015-09-17,"Fall 2015",0
"Kevin Querubin",2015-09-17,"Fall 2015",0
"Kordell Thompson",2015-09-17,"Fall 2015",0
"Joaquin Martinez",2015-09-17,"Fall 2015",0
"Rocky Mccarty",2015-09-17,"Fall 2015",0
"Keandre Johnson",2015-09-17,"Fall 2015",0
"Scott Lucero",2015-09-17,"Fall 2015",0
"Max Zuniga",2015-09-17,"Fall 2015",0
"Torben Mcclelland",2015-09-17,"Fall 2015",0
"Steve Galligan",2015-09-17,"Fall 2015",0
"Marzooq al-Fahs",2015-09-17,"Fall 2015",0
"Muhaajir al-Mirza",2015-09-17,"Fall 2015",0
"Shawn James",2015-09-17,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-09-17,"Fall 2015",0
"Taaha el-Qazi",2015-09-17,"Fall 2015",0
"Lawrence Tamayo",2015-09-17,"Fall 2015",0
"Husaam al-Ishak",2015-09-17,"Fall 2015",0
"Bishr el-Hamdan",2015-09-17,"Fall 2015",0
"Arun Bruckner",2015-09-17,"Fall 2015",0
"Jungsoo Moua",2015-09-17,"Fall 2015",0
"Mori Tani",2015-09-17,"Fall 2015",0
"Saleem el-Sham",2015-09-17,"Fall 2015",0
"Kong Meng Hutchinson",2015-09-17,"Fall 2015",0
"Naadir el-Mahdavi",2015-09-17,"Fall 2015",0
"Tayyib al-Wahab",2015-09-17,"Fall 2015",0
"Brandon Troxel",2015-09-17,"Fall 2015",0
"Aqeel al-Hossain",2015-09-17,"Fall 2015",0
"Darin Russell",2015-09-17,"Fall 2015",0
"Sahl al-Sader",2015-09-17,"Fall 2015",0
"Benjamin Babatunde",2015-09-18,"Fall 2015",150
"Joo Garand",2015-09-18,"Fall 2015",300
"Aiden Jaeger",2015-09-18,"Fall 2015",225
"Tony Cha",2015-09-18,"Fall 2015",300
"Kevin Querubin",2015-09-18,"Fall 2015",300
"Kordell Thompson",2015-09-18,"Fall 2015",300
"Joaquin Martinez",2015-09-18,"Fall 2015",600
"Rocky Mccarty",2015-09-18,"Fall 2015",30
"Keandre Johnson",2015-09-18,"Fall 2015",30
"Scott Lucero",2015-09-18,"Fall 2015",300
"Max Zuniga",2015-09-18,"Fall 2015",0
"Torben Mcclelland",2015-09-18,"Fall 2015",30
"Steve Galligan",2015-09-18,"Fall 2015",30
"Marzooq al-Fahs",2015-09-18,"Fall 2015",300
"Muhaajir al-Mirza",2015-09-18,"Fall 2015",30
"Shawn James",2015-09-18,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-09-18,"Fall 2015",150
"Taaha el-Qazi",2015-09-18,"Fall 2015",30
"Lawrence Tamayo",2015-09-18,"Fall 2015",150
"Husaam al-Ishak",2015-09-18,"Fall 2015",150
"Bishr el-Hamdan",2015-09-18,"Fall 2015",300
"Arun Bruckner",2015-09-18,"Fall 2015",300
"Jungsoo Moua",2015-09-18,"Fall 2015",375
"Mori Tani",2015-09-18,"Fall 2015",300
"Saleem el-Sham",2015-09-18,"Fall 2015",300
"Kong Meng Hutchinson",2015-09-18,"Fall 2015",450
"Naadir el-Mahdavi",2015-09-18,"Fall 2015",30
"Tayyib al-Wahab",2015-09-18,"Fall 2015",300
"Brandon Troxel",2015-09-18,"Fall 2015",30
"Aqeel al-Hossain",2015-09-18,"Fall 2015",30
"Darin Russell",2015-09-18,"Fall 2015",30
"Sahl al-Sader",2015-09-18,"Fall 2015",30
"Benjamin Babatunde",2015-09-19,"Fall 2015",360
"Joo Garand",2015-09-19,"Fall 2015",360
"Aiden Jaeger",2015-09-19,"Fall 2015",270
"Tony Cha",2015-09-19,"Fall 2015",540
"Kevin Querubin",2015-09-19,"Fall 2015",360
"Kordell Thompson",2015-09-19,"Fall 2015",270
"Joaquin Martinez",2015-09-19,"Fall 2015",270
"Rocky Mccarty",2015-09-19,"Fall 2015",60
"Keandre Johnson",2015-09-19,"Fall 2015",420
"Scott Lucero",2015-09-19,"Fall 2015",360
"Max Zuniga",2015-09-19,"Fall 2015",0
"Torben Mcclelland",2015-09-19,"Fall 2015",450
"Steve Galligan",2015-09-19,"Fall 2015",450
"Marzooq al-Fahs",2015-09-19,"Fall 2015",270
"Muhaajir al-Mirza",2015-09-19,"Fall 2015",270
"Shawn James",2015-09-19,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-09-19,"Fall 2015",180
"Taaha el-Qazi",2015-09-19,"Fall 2015",450
"Lawrence Tamayo",2015-09-19,"Fall 2015",360
"Husaam al-Ishak",2015-09-19,"Fall 2015",180
"Bishr el-Hamdan",2015-09-19,"Fall 2015",270
"Arun Bruckner",2015-09-19,"Fall 2015",450
"Jungsoo Moua",2015-09-19,"Fall 2015",450
"Mori Tani",2015-09-19,"Fall 2015",540
"Saleem el-Sham",2015-09-19,"Fall 2015",270
"Kong Meng Hutchinson",2015-09-19,"Fall 2015",280
"Naadir el-Mahdavi",2015-09-19,"Fall 2015",450
"Tayyib al-Wahab",2015-09-19,"Fall 2015",270
"Brandon Troxel",2015-09-19,"Fall 2015",360
"Aqeel al-Hossain",2015-09-19,"Fall 2015",360
"Darin Russell",2015-09-19,"Fall 2015",270
"Sahl al-Sader",2015-09-19,"Fall 2015",270
"Benjamin Babatunde",2015-09-20,"Fall 2015",140
"Joo Garand",2015-09-20,"Fall 2015",140
"Aiden Jaeger",2015-09-20,"Fall 2015",210
"Tony Cha",2015-09-20,"Fall 2015",280
"Kevin Querubin",2015-09-20,"Fall 2015",280
"Kordell Thompson",2015-09-20,"Fall 2015",210
"Joaquin Martinez",2015-09-20,"Fall 2015",140
"Rocky Mccarty",2015-09-20,"Fall 2015",30
"Keandre Johnson",2015-09-20,"Fall 2015",180
"Scott Lucero",2015-09-20,"Fall 2015",210
"Max Zuniga",2015-09-20,"Fall 2015",0
"Torben Mcclelland",2015-09-20,"Fall 2015",210
"Steve Galligan",2015-09-20,"Fall 2015",280
"Marzooq al-Fahs",2015-09-20,"Fall 2015",210
"Muhaajir al-Mirza",2015-09-20,"Fall 2015",210
"Shawn James",2015-09-20,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-09-20,"Fall 2015",210
"Taaha el-Qazi",2015-09-20,"Fall 2015",210
"Lawrence Tamayo",2015-09-20,"Fall 2015",140
"Husaam al-Ishak",2015-09-20,"Fall 2015",210
"Bishr el-Hamdan",2015-09-20,"Fall 2015",210
"Arun Bruckner",2015-09-20,"Fall 2015",280
"Jungsoo Moua",2015-09-20,"Fall 2015",280
"Mori Tani",2015-09-20,"Fall 2015",420
"Saleem el-Sham",2015-09-20,"Fall 2015",0
"Kong Meng Hutchinson",2015-09-20,"Fall 2015",0
"Naadir el-Mahdavi",2015-09-20,"Fall 2015",210
"Tayyib al-Wahab",2015-09-20,"Fall 2015",280
"Brandon Troxel",2015-09-20,"Fall 2015",210
"Aqeel al-Hossain",2015-09-20,"Fall 2015",280
"Darin Russell",2015-09-20,"Fall 2015",210
"Sahl al-Sader",2015-09-20,"Fall 2015",210
"Benjamin Babatunde",2015-09-21,"Fall 2015",140
"Joo Garand",2015-09-21,"Fall 2015",210
"Aiden Jaeger",2015-09-21,"Fall 2015",0
"Tony Cha",2015-09-21,"Fall 2015",70
"Kevin Querubin",2015-09-21,"Fall 2015",140
"Kordell Thompson",2015-09-21,"Fall 2015",140
"Joaquin Martinez",2015-09-21,"Fall 2015",140
"Rocky Mccarty",2015-09-21,"Fall 2015",90
"Keandre Johnson",2015-09-21,"Fall 2015",180
"Scott Lucero",2015-09-21,"Fall 2015",140
"Max Zuniga",2015-09-21,"Fall 2015",0
"Torben Mcclelland",2015-09-21,"Fall 2015",140
"Steve Galligan",2015-09-21,"Fall 2015",70
"Marzooq al-Fahs",2015-09-21,"Fall 2015",140
"Muhaajir al-Mirza",2015-09-21,"Fall 2015",210
"Shawn James",2015-09-21,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-09-21,"Fall 2015",140
"Taaha el-Qazi",2015-09-21,"Fall 2015",210
"Lawrence Tamayo",2015-09-21,"Fall 2015",210
"Husaam al-Ishak",2015-09-21,"Fall 2015",70
"Bishr el-Hamdan",2015-09-21,"Fall 2015",210
"Arun Bruckner",2015-09-21,"Fall 2015",0
"Jungsoo Moua",2015-09-21,"Fall 2015",70
"Mori Tani",2015-09-21,"Fall 2015",0
"Saleem el-Sham",2015-09-21,"Fall 2015",420
"Kong Meng Hutchinson",2015-09-21,"Fall 2015",70
"Naadir el-Mahdavi",2015-09-21,"Fall 2015",140
"Tayyib al-Wahab",2015-09-21,"Fall 2015",0
"Brandon Troxel",2015-09-21,"Fall 2015",140
"Aqeel al-Hossain",2015-09-21,"Fall 2015",140
"Darin Russell",2015-09-21,"Fall 2015",70
"Sahl al-Sader",2015-09-21,"Fall 2015",140
"Benjamin Babatunde",2015-09-22,"Fall 2015",0
"Joo Garand",2015-09-22,"Fall 2015",0
"Aiden Jaeger",2015-09-22,"Fall 2015",540
"Tony Cha",2015-09-22,"Fall 2015",540
"Kevin Querubin",2015-09-22,"Fall 2015",675
"Kordell Thompson",2015-09-22,"Fall 2015",0
"Joaquin Martinez",2015-09-22,"Fall 2015",810
"Rocky Mccarty",2015-09-22,"Fall 2015",675
"Keandre Johnson",2015-09-22,"Fall 2015",0
"Scott Lucero",2015-09-22,"Fall 2015",540
"Max Zuniga",2015-09-22,"Fall 2015",0
"Torben Mcclelland",2015-09-22,"Fall 2015",810
"Steve Galligan",2015-09-22,"Fall 2015",945
"Marzooq al-Fahs",2015-09-22,"Fall 2015",405
"Muhaajir al-Mirza",2015-09-22,"Fall 2015",540
"Shawn James",2015-09-22,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-09-22,"Fall 2015",0
"Taaha el-Qazi",2015-09-22,"Fall 2015",810
"Lawrence Tamayo",2015-09-22,"Fall 2015",540
"Husaam al-Ishak",2015-09-22,"Fall 2015",405
"Bishr el-Hamdan",2015-09-22,"Fall 2015",0
"Arun Bruckner",2015-09-22,"Fall 2015",0
"Jungsoo Moua",2015-09-22,"Fall 2015",0
"Mori Tani",2015-09-22,"Fall 2015",0
"Saleem el-Sham",2015-09-22,"Fall 2015",0
"Kong Meng Hutchinson",2015-09-22,"Fall 2015",0
"Naadir el-Mahdavi",2015-09-22,"Fall 2015",945
"Tayyib al-Wahab",2015-09-22,"Fall 2015",0
"Brandon Troxel",2015-09-22,"Fall 2015",1080
"Aqeel al-Hossain",2015-09-22,"Fall 2015",810
"Darin Russell",2015-09-22,"Fall 2015",540
"Sahl al-Sader",2015-09-22,"Fall 2015",945
"Benjamin Babatunde",2015-09-23,"Fall 2015",0
"Joo Garand",2015-09-23,"Fall 2015",0
"Aiden Jaeger",2015-09-23,"Fall 2015",0
"Tony Cha",2015-09-23,"Fall 2015",0
"Kevin Querubin",2015-09-23,"Fall 2015",0
"Kordell Thompson",2015-09-23,"Fall 2015",0
"Joaquin Martinez",2015-09-23,"Fall 2015",0
"Rocky Mccarty",2015-09-23,"Fall 2015",0
"Keandre Johnson",2015-09-23,"Fall 2015",0
"Scott Lucero",2015-09-23,"Fall 2015",0
"Max Zuniga",2015-09-23,"Fall 2015",0
"Torben Mcclelland",2015-09-23,"Fall 2015",0
"Steve Galligan",2015-09-23,"Fall 2015",0
"Marzooq al-Fahs",2015-09-23,"Fall 2015",0
"Muhaajir al-Mirza",2015-09-23,"Fall 2015",0
"Shawn James",2015-09-23,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-09-23,"Fall 2015",0
"Taaha el-Qazi",2015-09-23,"Fall 2015",0
"Lawrence Tamayo",2015-09-23,"Fall 2015",0
"Bishr el-Hamdan",2015-09-23,"Fall 2015",0
"Arun Bruckner",2015-09-23,"Fall 2015",0
"Jungsoo Moua",2015-09-23,"Fall 2015",0
"Mori Tani",2015-09-23,"Fall 2015",0
"Saleem el-Sham",2015-09-23,"Fall 2015",0
"Kong Meng Hutchinson",2015-09-23,"Fall 2015",0
"Naadir el-Mahdavi",2015-09-23,"Fall 2015",0
"Tayyib al-Wahab",2015-09-23,"Fall 2015",0
"Brandon Troxel",2015-09-23,"Fall 2015",0
"Aqeel al-Hossain",2015-09-23,"Fall 2015",0
"Darin Russell",2015-09-23,"Fall 2015",0
"Sahl al-Sader",2015-09-23,"Fall 2015",0
"Benjamin Babatunde",2015-09-24,"Fall 2015",180
"Joo Garand",2015-09-24,"Fall 2015",180
"Aiden Jaeger",2015-09-24,"Fall 2015",120
"Tony Cha",2015-09-24,"Fall 2015",120
"Kevin Querubin",2015-09-24,"Fall 2015",180
"Kordell Thompson",2015-09-24,"Fall 2015",180
"Joaquin Martinez",2015-09-24,"Fall 2015",180
"Rocky Mccarty",2015-09-24,"Fall 2015",240
"Keandre Johnson",2015-09-24,"Fall 2015",300
"Scott Lucero",2015-09-24,"Fall 2015",240
"Max Zuniga",2015-09-24,"Fall 2015",0
"Torben Mcclelland",2015-09-24,"Fall 2015",20
"Steve Galligan",2015-09-24,"Fall 2015",20
"Marzooq al-Fahs",2015-09-24,"Fall 2015",240
"Muhaajir al-Mirza",2015-09-24,"Fall 2015",20
"Shawn James",2015-09-24,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-09-24,"Fall 2015",180
"Taaha el-Qazi",2015-09-24,"Fall 2015",20
"Lawrence Tamayo",2015-09-24,"Fall 2015",20
"Bishr el-Hamdan",2015-09-24,"Fall 2015",180
"Arun Bruckner",2015-09-24,"Fall 2015",240
"Jungsoo Moua",2015-09-24,"Fall 2015",60
"Mori Tani",2015-09-24,"Fall 2015",360
"Saleem el-Sham",2015-09-24,"Fall 2015",180
"Kong Meng Hutchinson",2015-09-24,"Fall 2015",120
"Naadir el-Mahdavi",2015-09-24,"Fall 2015",20
"Tayyib al-Wahab",2015-09-24,"Fall 2015",0
"Brandon Troxel",2015-09-24,"Fall 2015",20
"Aqeel al-Hossain",2015-09-24,"Fall 2015",0
"Darin Russell",2015-09-24,"Fall 2015",20
"Sahl al-Sader",2015-09-24,"Fall 2015",20
"Benjamin Babatunde",2015-09-25,"Fall 2015",375
"Joo Garand",2015-09-25,"Fall 2015",405
"Aiden Jaeger",2015-09-25,"Fall 2015",310
"Tony Cha",2015-09-25,"Fall 2015",180
"Kevin Querubin",2015-09-25,"Fall 2015",465
"Kordell Thompson",2015-09-25,"Fall 2015",430
"Joaquin Martinez",2015-09-25,"Fall 2015",310
"Rocky Mccarty",2015-09-25,"Fall 2015",120
"Keandre Johnson",2015-09-25,"Fall 2015",395
"Scott Lucero",2015-09-25,"Fall 2015",435
"Max Zuniga",2015-09-25,"Fall 2015",0
"Torben Mcclelland",2015-09-25,"Fall 2015",220
"Steve Galligan",2015-09-25,"Fall 2015",495
"Marzooq al-Fahs",2015-09-25,"Fall 2015",295
"Muhaajir al-Mirza",2015-09-25,"Fall 2015",435
"Shawn James",2015-09-25,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-09-25,"Fall 2015",270
"Taaha el-Qazi",2015-09-25,"Fall 2015",410
"Lawrence Tamayo",2015-09-25,"Fall 2015",405
"Bishr el-Hamdan",2015-09-25,"Fall 2015",495
"Arun Bruckner",2015-09-25,"Fall 2015",375
"Mori Tani",2015-09-25,"Fall 2015",495
"Saleem el-Sham",2015-09-25,"Fall 2015",375
"Kong Meng Hutchinson",2015-09-25,"Fall 2015",195
"Naadir el-Mahdavi",2015-09-25,"Fall 2015",405
"Tayyib al-Wahab",2015-09-25,"Fall 2015",545
"Brandon Troxel",2015-09-25,"Fall 2015",130
"Aqeel al-Hossain",2015-09-25,"Fall 2015",0
"Darin Russell",2015-09-25,"Fall 2015",365
"Sahl al-Sader",2015-09-25,"Fall 2015",195
"Benjamin Babatunde",2015-09-26,"Fall 2015",95
"Joo Garand",2015-09-26,"Fall 2015",285
"Aiden Jaeger",2015-09-26,"Fall 2015",285
"Tony Cha",2015-09-26,"Fall 2015",150
"Kevin Querubin",2015-09-26,"Fall 2015",380
"Kordell Thompson",2015-09-26,"Fall 2015",285
"Joaquin Martinez",2015-09-26,"Fall 2015",190
"Rocky Mccarty",2015-09-26,"Fall 2015",285
"Keandre Johnson",2015-09-26,"Fall 2015",320
"Scott Lucero",2015-09-26,"Fall 2015",285
"Max Zuniga",2015-09-26,"Fall 2015",0
"Torben Mcclelland",2015-09-26,"Fall 2015",190
"Steve Galligan",2015-09-26,"Fall 2015",380
"Marzooq al-Fahs",2015-09-26,"Fall 2015",285
"Muhaajir al-Mirza",2015-09-26,"Fall 2015",475
"Shawn James",2015-09-26,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-09-26,"Fall 2015",190
"Taaha el-Qazi",2015-09-26,"Fall 2015",380
"Lawrence Tamayo",2015-09-26,"Fall 2015",190
"Bishr el-Hamdan",2015-09-26,"Fall 2015",285
"Arun Bruckner",2015-09-26,"Fall 2015",0
"Mori Tani",2015-09-26,"Fall 2015",285
"Saleem el-Sham",2015-09-26,"Fall 2015",285
"Kong Meng Hutchinson",2015-09-26,"Fall 2015",0
"Naadir el-Mahdavi",2015-09-26,"Fall 2015",380
"Tayyib al-Wahab",2015-09-26,"Fall 2015",570
"Brandon Troxel",2015-09-26,"Fall 2015",380
"Aqeel al-Hossain",2015-09-26,"Fall 2015",285
"Darin Russell",2015-09-26,"Fall 2015",95
"Sahl al-Sader",2015-09-26,"Fall 2015",190
"Benjamin Babatunde",2015-09-27,"Fall 2015",280
"Joo Garand",2015-09-27,"Fall 2015",280
"Aiden Jaeger",2015-09-27,"Fall 2015",280
"Tony Cha",2015-09-27,"Fall 2015",210
"Kevin Querubin",2015-09-27,"Fall 2015",280
"Kordell Thompson",2015-09-27,"Fall 2015",210
"Joaquin Martinez",2015-09-27,"Fall 2015",140
"Rocky Mccarty",2015-09-27,"Fall 2015",280
"Keandre Johnson",2015-09-27,"Fall 2015",210
"Scott Lucero",2015-09-27,"Fall 2015",280
"Max Zuniga",2015-09-27,"Fall 2015",0
"Torben Mcclelland",2015-09-27,"Fall 2015",210
"Steve Galligan",2015-09-27,"Fall 2015",210
"Marzooq al-Fahs",2015-09-27,"Fall 2015",80
"Muhaajir al-Mirza",2015-09-27,"Fall 2015",0
"Shawn James",2015-09-27,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-09-27,"Fall 2015",0
"Taaha el-Qazi",2015-09-27,"Fall 2015",280
"Lawrence Tamayo",2015-09-27,"Fall 2015",280
"Bishr el-Hamdan",2015-09-27,"Fall 2015",280
"Arun Bruckner",2015-09-27,"Fall 2015",0
"Mori Tani",2015-09-27,"Fall 2015",420
"Saleem el-Sham",2015-09-27,"Fall 2015",210
"Kong Meng Hutchinson",2015-09-27,"Fall 2015",210
"Naadir el-Mahdavi",2015-09-27,"Fall 2015",140
"Tayyib al-Wahab",2015-09-27,"Fall 2015",420
"Brandon Troxel",2015-09-27,"Fall 2015",210
"Aqeel al-Hossain",2015-09-27,"Fall 2015",120
"Darin Russell",2015-09-27,"Fall 2015",60
"Sahl al-Sader",2015-09-27,"Fall 2015",120
"Benjamin Babatunde",2015-09-28,"Fall 2015",140
"Joo Garand",2015-09-28,"Fall 2015",140
"Aiden Jaeger",2015-09-28,"Fall 2015",0
"Tony Cha",2015-09-28,"Fall 2015",140
"Kevin Querubin",2015-09-28,"Fall 2015",140
"Kordell Thompson",2015-09-28,"Fall 2015",140
"Joaquin Martinez",2015-09-28,"Fall 2015",140
"Rocky Mccarty",2015-09-28,"Fall 2015",210
"Keandre Johnson",2015-09-28,"Fall 2015",130
"Scott Lucero",2015-09-28,"Fall 2015",140
